Movie,Box_office_crores,Budget_crores,Certificate,Release_Date,Run_time_mins,Director,Producer,Lead_Actor1,Lead_Actor2,Lead_Actor3,Genre1,Genre2,Genre3
ghajini,114,52,U,24-Dec-08,154,A.r. Murugadoss,Madhu Mantena Varma,Ar Murugadoss,Aamir Khan,Asin Thottumkal,Action,Drama,Mystery
manorama-six-feet-under,0.42,3,U/A,21-Sep-07,138,Navdeep Singh,Ketan Maru,Abhay Deol,Gul Panag,Nawazuddin Siddiqui,Crime,Drama,Mystery
madras-cafe,43,35,U/A,23-Aug-13,130,Shoojit Sircar,John Abraham,John Abraham,Nargis Fakhri,Raashi Khanna,Action,Drama,History
aamir,2,3,U,6-Jun-08,99,Raj Kumar Gupta,,Rajeev Khandelwal,Chinkal,Aishwarya,Drama,Thriller,Crime
parmanu-the-story-of-pokhran,91,44,U,4-May-18,129,Abhishek Sharma,John Abraham,John Abraham,Diana Penty,Boman Irani,Action,Drama,History
pyaar-ka-punchnama,60,22,U/A,20-May-11,149,Luv Ranjan,,Kartik Aaryan,Nushrat Bharucha,Raayo S. Bakhirta,Comedy,Drama,Romance
bajirao-mastani,183,145,U,18-Dec-15,158,Sanjay Leela Bhansali,Sanjay Leela Bhansali,Ranveer Singh,Deepika Padukone,Priyanka Chopra,Action,Drama,History
dum-laga-ke-haisha,30,14,U/A,27-Feb-15,131,Sharat Katariya,Aditya Chopra,Bhumi Pednekar,Ayushmann Khurrana,Chandrachoor Rai,Comedy,Drama,Romance
chillar-party,4,5,U,8-Jul-11,135,Vikas Bahl,Ronnie Screwvala,Nitesh Tiwari,Ranbir Kapoor,Aarav Khanna,Comedy,Drama,Family
raanjhanaa,61,36,U/A,20-Jun-13,141,Aanand L. Rai,Krishika Lulla,Aanand L Rai,Sonam Kapoor,Dhanush,Drama,Romance,NA
dear-zindagi,66,46,U/A,23-Nov-16,149,Gauri Shinde,Karan Johar,Alia Bhatt,Shah Rukh Khan,Aditya Roy Kapoor,Drama,Romance,NA
kesari,151,126,U/A,21-Mar-19,151,Anurag Singh,Akshay Kumar,Akshay Kumar,Vansh Bhardwaj,Parineeti Chopra,Action,Drama,History
wake-up-sid,27,18,U/A,2-Oct-09,138,Ayan Mukherjee,Karan Johar,Ranbir Kapoor,Anupam Kher,Konkona Sen Sharma,Comedy,Drama,Romance
highway-i,28,25,U/A,20-Feb-14,133,Imtiaz Ali,Imtiaz Ali,Alia Bhatt,Pradeep Nagar,Randeep Hooda,Adventure,Drama,Romance
do-dooni-chaar,4,6,U,8-Oct-10,112,Habib Faisal,Arindam Chowdhuri,Rishi Kapoor,Mohit Chadha,Aditi Vasudev,Comedy,Drama,NA
detective-byomkesh-bakshy,26,35,U/A,2-Apr-15,151,Dibakar Banerjee,Aditya Chopra,Sushant Singh Rajput,Divya Menon,Neeraj Kabi,Action,Drama,Thriller
parched,1,24,A,20-Apr-16,116,Leena Yadav,Ajay Devgan,Tannishtha Chatterjee,Lehar Khan,Radhika Apte,Drama,NA,NA
the-sky-is-pink,20,42,U/A,11-Oct-19,135,Shonali Bose,Priyanka Chopra,Priyanka Chopra,Farhan Akhtar,Zaira Wasim,Drama,Biography,Family
bandit-queen,14,3,A,28-Jan-95,119,Shekhar Kapur,Bobby Bedi,Manoj Bajpayee,Seema Biswas,Mahesh Chandra,Biography,Crime,Drama
trapped-ii,2,5,U/A,16-Mar-17,105,Vikramaditya Motwane,Anurag Kashyap,Geetanjali Thapa,Rajkummar Rao,Khushboo Upadhyay,Drama,Thriller,Action
raincoat,2,5,U,24-Dec-04,117,Rituparno Ghosh,,Aishwarya Rai Bachchan,Ajay Devgan,Kailash Koppikar,Drama,Romance,NA
bhavesh-joshi-superhero,1,21,U/A,1-Jun-18,155,Vikramaditya Motwane,Anurag Kashyap,Harshvardhan Kapoor,Radhika Apte,Hrishikesh Joshi,Action,Drama,NA
shaadi-mein-zaroor-aana,15,13,U/A,9-Nov-17,137,Ratnaa Sinha,Vinod Bachchan,Kriti Kharbanda,Rajkummar Rao,Alka Amin,Drama,Family,Romance
koi-mil-gaya,82,30,U,8-Aug-03,172,Rakesh Roshan,Rakesh Roshan,Hrithik Roshan,Preity Zinta,Rekha Ganesan,Drama,Fantasy,Romance
kaminey,41,40,U/A,14-Aug-09,131,Vishal Bhardwaj,Ronnie Screwvala,Shahid Kapoor,Priyanka Chopra,Hrishikesh Joshi,Action,Comedy,Crime
once-upon-a-time-in-mumbaai,58,35,U/A,30-Jul-10,132,Milan Luthria,Ekta Kapoor,Emraan Hashmi,Kangana Ranaut,Ajay Devgan,Action,Crime,Drama
padmavati,585,215,U/A,25-Jan-18,163,Sanjay Leela Bhansali,Shobha Sant,Ranveer Singh,Shahid Kapoor,Deepika Padukone,Drama,History,Romance
kabir-singh,276,68,A,21-Jun-19,174,Sandeep Reddy Vanga,Bhushan Kumar,Shahid Kapoor,Kiara Advani,Adil Hussain,Drama,Action,Romance
jolly-llb,30,13,U/A,14-Mar-13,131,Subhash Kapoor,,Kannan Arunachalam,Mohan Agashe,Amrita Rao,Comedy,Drama,Crime
phas-gaye-re-obama,2,6,A,3-Dec-10,108,Subhash Kapoor,Ashok Pandey,Ranjan Chhabra,Pragati Pandey,Pragati Pandey,Comedy,Crime,Drama
hichki,46,20,U,22-Mar-18,116,Siddharth Malhotra,Aditya Chopra,Siddharth P Malhotra,Rani Mukerji,Ria Shukla,Comedy,Drama,NA
rocket-singh-salesman-of-the-year,20,16,U/A,11-Dec-09,150,Shimit Amin,,Ranbir Kapoor,Imtiaz Ahamed,Naveen Kaushik,Comedy,Drama,NA
october,37,33,U,12-Apr-18,115,Shoojit Sircar,Shoojit Sircar,Varun Dhawan,Nikita Anand,Ashish Ghosh,Drama,Romance,Thriller
life-in-a-metro,15,9,A,11-May-07,132,Anurag Basu,Anurag Basu,Kangana Ranaut,Irrfan Khan,Dharmendra,Comedy,Drama,Romance
yuva,14,12,U/A,22-May-04,161,Mani Ratnam,Mani Ratnam,Rani Mukerji,Ajay Devgan,Kareena Kapoor Khan,Action,Adventure,Crime
toilet-ek-prem-katha,311,32,U/A,10-Aug-17,161,Shree Narayan Singh,Arjun Kapoor,Shree Narayan Singh,Bhumi Pednekar,Akshay Kumar,Comedy,Drama,NA
khakee1,25,26,U,23-Jan-04,144,Rajkumar Santoshi,Bharat S Shah,Akshay Kumar,Aishwarya Rai Bachchan,Ajay Devgan,Action,Adventure,Drama
bala1,110,32,U/A,7-Nov-19,133,Amar Kaushik,Dinesh Vijan,Amar Kaushik,Bhumi Pednekar,Yami Gautam,Comedy,Romance,Drama
bhool-bhulaiyaa,49,32,U/A,12-Oct-07,164,Priyadarshan Nair,Bhushan Kumar,Akshay Kumar,Vidya Balan,Shiney Ahuja,Comedy,Horror,Mystery
parineeta,16,17,U,10-Jun-05,130,Pradeep Sarkar,Vidhu Vinod Chopra,Vidya Balan,Saif Ali Khan,Amitabh Bachchan,Drama,Musical,Romance
gold,102,107,U/A,15-Aug-18,153,Reema Kagti,Farhan Akhtar,Akshay Kumar,Farhan Akhtar,Mouni Roy,Drama,History,Sport
badlapur,49,29,U/A,19-Feb-15,128,Sriram Raghavan,Sunil Lulla,Varun Dhawan,Yami Gautam,Radhika Apte,Action,Drama,Crime
ishqiya,22,19,A,29-Jan-10,118,Abhishek Chaubey,Vishal Bhardwaj,Vidya Balan,Naseeruddin Shah,Salman Shahid,Comedy,Drama,Romance
holiday-a-soldier-is-never-off-duty,178,50,U/A,5-Jun-14,171,A.r. Murugadoss,Aruna Bhatia,Ar Murugadoss,Akshay Kumar,Sonakshi Sinha,Action,Adventure,Crime
page-3,8,4,A,21-Jan-05,139,Madhur Bhandarkar,Bobby Pushkarna,Sunil Shetty,Shashank,Konkona Sen Sharma,Drama,NA,NA
rab-ne-bana-di-jodi,84,39,U,12-Dec-08,164,Aditya Chopra,Aditya Chopra,Anushka Sharma,Rani Mukerji,Kajol Devgn,Comedy,Drama,Romance
fanaa,51,30,U,26-May-06,168,Kunal Kohli,Aditya Chopra,Aamir Khan,Kajol Devgn,Tabu Hashmi,Drama,Romance,Thriller
tamasha,68,87,U/A,26-Nov-15,151,Imtiaz Ali,Imtiaz Ali,Deepika Padukone,Ranbir Kapoor,Sukhesh Arora,Comedy,Drama,Romance
peepli,46,10,A,13-Aug-10,95,Mahmood Farooqui,Aamir Khan,Mahmood Farooqui,Anusha Rizvi,Naseeruddin Shah,Comedy,Drama,NA
102-not-out,51,35,U,3-May-18,102,Umesh Shukla,Bhushan Kumar,Amitabh Bachchan,Rishi Kapoor,Rakhi Kumari,Comedy,Drama,NA
dhamaal,32,19,U,7-Sep-07,136,Indra Kumar,Indra Kumar,Sanjay Dutt,Riteish Deshmukh,Arshad Warsi,Adventure,Comedy,Crime
band-baaja-baaraat,23,15,U,10-Dec-10,139,Maneesh Sharma,Aditya Chopra,Anushka Sharma,Ranveer Singh,Manish Chaudhari,Comedy,Drama,Romance
guzaarish,29,74,U/A,16-Nov-10,127,Sanjay Leela Bhansali,Sanjay Leela Bhansali,Aishwarya Rai Bachchan,Hrithik Roshan,Aditya Roy Kapoor,Comedy,Drama,Romance
the-stoneman-murders,0.59,4,U/A,13-Feb-09,95,Manish Gupta,Bobby Bedi,Priya Ahuja,Kay Kay Menon,Rukhsar Rehman,Crime,Drama,Mystery
soorma,32,31,U,12-Jul-18,131,Shaad Ali,Chitrangda Singh,Diljit Dosanjh,Taapsee Pannu,Sidharth Shukla,Biography,Sport,Drama
raman-raghav-20,6,10,A,24-Jun-16,140,Anurag Kashyap,Anurag Kashyap,Sobhita Dhulipala,Anuschka Sawhney,Nawazuddin Siddiqui,Crime,Drama,Thriller
mardaani-2,46,27,U/A,13-Dec-19,135,Gopi Puthran,Aditya Chopra,Rani Mukerji,Richa Meena,Vikram Singh Chauhan,Action,Drama,Thriller
sanam-teri-kasam,8,19,U,5-Feb-16,155,Radhika Rao,Sunil A Lulla,Vinay Sapru,Mawra Hocane,Harshvardhan Rane,Drama,Musical,Romance
mard-ko-dard-nahi-hota1,2,17,U/A,21-Mar-19,137,Vasan Bala,Ronnie Screwvala,Abhimanyu Dassani,Radhika Madan,Gulshan Devaiah,Action,Comedy,Drama
sultan,300,145,U/A,6-Jul-16,170,Ali Abbas Zafar,Aditya Chopra,Anushka Sharma,Salman Khan,Randeep Hooda,Action,Drama,Family
lakshmi2,0.29,4,A,21-Mar-14,115,Nagesh Kukunoor,Satish Kaushik,Flora Saini,Ram Kapoor,Shefali Shetty,Drama,Musical,NA
sonu-ke-titu-ki-sweety,100,40,U/A,23-Feb-18,140,Luv Ranjan,Bhushan Kumar,Kartik Aaryan,Nushrat Bharucha,Sunny Singh Nijjar,Comedy,Romance,Drama
aashiqui-2,78,15,U,25-Apr-13,133,Mohit Suri,Bhushan Kumar,Shraddha Kapoor,Salil Acharya,Aditya Roy Kapoor,Drama,Musical,Romance
don-2,106,76,U,23-Dec-11,139,Farhan Akhtar,Shah Rukh Khan,Hrithik Roshan,Priyanka Chopra,Shah Rukh Khan,Action,Crime,Thriller
batla-house,84,56,U/A,15-Aug-19,135,Nikkhil Advani,Bhushan Kumar,John Abraham,Mrunal Thakur,Manish Chaudhari,Action,Thriller,Drama
raajneeti,92,61,U/A,4-Jun-10,168,Prakash Jha,Prakash Jha,Arjun Rampal,Ajay Devgan,Katrina Kaif,Crime,Drama,Thriller
tanu-weds-manu-returns,148,39,U/A,21-May-15,128,Aanand L. Rai,Kishore Lulla,Aanand L Rai,Kangana Ranaut,R Madhavan,Comedy,Drama,Romance
sarbjit-film,43,15,U/A,20-May-16,131,Omung Kumar,Bhushan Kumar,Ishwar Singh Muchhal,Aishwarya Rai Bachchan,Randeep Hooda,Biography,Drama,History
om-shanti-om,78,40,U/A,7-Nov-07,162,Farah Khan,Shah Rukh Khan,Akshay Kumar,Arjun Rampal,Rani Mukerji,Action,Comedy,Drama
gabbar-is-back,86,79,U/A,30-Apr-15,130,Krish Jagarlamudi,Sanjay Leela Bhansali,Radhakrishna Jagarlamudi,Akshay Kumar,Kareena Kapoor Khan,Action,Crime,Drama
agneepath1,119,71,U/A,26-Jan-12,174,Karan Malhotra,Karan Johar,Hrithik Roshan,Priyanka Chopra,Katrina Kaif,Action,Crime,Drama
city-lights,6,9,U/A,30-May-14,127,Hansal Mehta,Mukesh Bhatt,Mallhar Goenka,Patralekha Paul,Rajkummar Rao,Drama,Thriller,NA
good-newwz-m,196,117,U/A,27-Dec-19,134,Raj Mehta,Aruna Bhatia,Akshay Kumar,Kareena Kapoor Khan,Tanmay Dhanania,Comedy,Drama,Romance
laal-kaptaan,2,41,A,18-Oct-19,155,Navdeep Singh,Sunil Lulla,Deepak Dobriyal,Saif Ali Khan,Sonakshi Sinha,Drama,Action,NA
filmistaan1,6,7,U,6-Jun-14,117,Nitin Kakkar,Shaila Tanna,Nitin Kakkar,Gopal Datt,Kumud Mishra,Comedy,Drama,NA
mardaani,35,21,A,21-Aug-14,113,Pradeep Sarkar,Aditya Chopra,Rani Mukerji,Priyanka Sharma,Tahir Raj Bhasin,Action,Drama,Thriller
lootera-i,27,32,U/A,4-Jul-13,143,Vikramaditya Motwane,Anurag Kashyap,Ranveer Singh,Sonakshi Sinha,Adil Hussain,Drama,Romance,Family
ek-chalis-ki-last-local,1,3,A,18-May-07,143,Sanjay M. Khanduri,Bharat S Shah,Sanjay M Khanduri,Himanshu Bhatt,Abhay Deol,Adventure,Comedy,Crime
te3n,18,34,U/A,10-Jun-16,136,Ribhu Dasgupta,Suresh Nair,Vidya Balan,Amitabh Bachchan,Ardhendu Banerjee,Drama,Mystery,Thriller
shaurya-it-takes-courage-to-make-right-right,2,4,A,4-Apr-08,145,Samar Khan,Rupali Mehta,Shah Rukh Khan,Seema Biswas,Deepak Dobriyal,Crime,Drama,Thriller
mom,31,37,U/A,6-Jul-17,147,Ravi Udyawar,Boney Kapoor,Akshaye Khanna,Sridevi Kapoor,Nawazuddin Siddiqui,Drama,Thriller,Crime
2-states,101,45,U/A,17-Apr-14,149,Abhishek Varman,Sajid Nadiadwala,Alia Bhatt,Arjun Kapoor,Revathi,Comedy,Drama,Romance
